id,word,definition,audio
37,adjàr,"adyàr- v. -an 'to grate, scrape. n. adjarang-ungut 'coconut-grating stool'; see kudkuran. pipagadjaran 'place for scraping'.",
38,admirúl,"var. almirúl, armidú; [Sp] d. starched.",
39,adobu,"arobu, adobo n. [Sp] a dish of meat, seafood or vegeratbles cooked in vinegar and spices",
40,adobung dilo,n. [Sp] dilaw adobo,
41,adobung palus,n. [Sp] eel adobo,
42,adobung sapa,n. [Sp] river's catch adobo,
43,adobung toyu,n. [Sp] adobo style braised meat stew with soy sauce; variations of this include lutung toyu and lutung kalamunding.,
44,adtâ,"agaâ n. milky substance from plants, white pulp from bark",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ADTA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQURUQS5tcDMiLCJpYXQiOjE3NTQ4MDM1NTUsImV4cCI6MjA3MDE2MzU1NX0.r8fa0ZzwVnrxoGEBS-DM0HqM40yV7SB3s5GPaS4TS-Y
45,adwâ,"var. aduà, adduà n. adj. two; the number 2; Syn [Sp] dos v. pangaladwan 'do something a second time'. (Nu.) two. kakadwâ 'second'; pàngalawâ 'the second one (e.g child)'.",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AD-DUA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUQtRFVBLm1wMyIsImlhdCI6MTc1NDgwMzU2NCwiZXhwIjoyMDcwMTYzNTY0fQ.u0rxoJrcPdgGQca7sMEU9jUpqrm201qAlX1pTT9tXeQ
46,adwa-lima,two for five (2 or 5); syn. tidwa-singku (but not dos-singku),
47,adwampulut lima,"n. adj. twenty-five; the number 25; Syn [Sp] beintisingku, beintsingku.",
48,adwang aldo,adv. for two days,
49,adwang banwa,adv. for two years,
50,adwang bulan,adv. one whole month for two months,
51,"adwang dalan, adwandalan",n. adj. two hundred; the number 200; Syn [Sp] dos sientus;,
52,adwang pulu,n. adj. twenty; the number 20; Syn [Sp] beinti,
53,àdwang,var àdduang v. to hand something over,
54,àdya,var àddyâ n. food cooked for a fiesta.,
55,adyàr,see adjàr,
56,aga,v. to be charming to someone you just met,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdBLm1wMyIsImlhdCI6MTc1NDg0MzI2MCwiZXhwIjoyMTMzMjc1MjYwfQ.DebWk9KsqxgeBiZg94CvVoQUwvLfl0MX2fMr4Wtehc4
57,agad,1 n. skin irritation,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGAD_2.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdBRF8yLm1wMyIsImlhdCI6MTc1NDgwMzgzNCwiZXhwIjoyMDcwMTYzODM0fQ.AFGAeRmjYMdZOK_uJq7UUlCBD0Z61JGZz3xgS624yME
58,àgad,"1 adv. right away. 2 straightaway, immediately. See dapal, mabilis",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGAD_1.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdBRF8xLm1wMyIsImlhdCI6MTc1NDgwMzg0NCwiZXhwIjoyMDcwMTYzODQ0fQ._q6bHTi9AiX5mtE7G5hC8D2zU-k3NiQY-ZqenxwYy0s
59,agag,v. to sift flour before mixing,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGAG.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdBRy5tcDMiLCJpYXQiOjE3NTQ4MDM4NTQsImV4cCI6MjA3MDE2Mzg1NH0.Xf6pjujOcUJjz67gf5tVF40ge6B5B1VtycUaCQK2c9A
60,àgap,v. to store for future use,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGAP.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdBUC5tcDMiLCJpYXQiOjE3NTQ4MDM4NjYsImV4cCI6MjA3MDE2Mzg2Nn0.6VreH_L1xOBQw687r0JxbEFa4znL7vQDlsKhyaCAyA0
61,àgas,n. water from rain with soil,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGAS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdBUy5tcDMiLCJpYXQiOjE3NTQ4MDM4ODYsImV4cCI6MjA3MDE2Mzg4Nn0.9qTYoN5l-S-Oa65sV6oyFvP9-Phch281I8OHhPbgIHU
62,àgî,n. spider web. d. mayagî 'be full of cobwebs. v. man- 'to remove cobwebs'; pa- 'have cobwebs removed'.,
63,aginaldu,"[Sp] n. Christmas gift, bonus; syn. pamasku",
64,agkas,v. to pronounce words clearly. ,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGCAS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdDQVMubXAzIiwiaWF0IjoxNzU0ODAzOTAxLCJleHAiOjIwNzAxNjM5MDF9.85biVklmsff0mbgcGkB3g8F1TiklM5RPMS71a11bZDk
65,agkát,"v. summon, invite, signal. man-, -an, pa-, pan-, d. may-'be invited'. n. pámanagkat 'manner of inviting'; syn. abluk, agyag",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGCAT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdDQVQubXAzIiwiaWF0IjoxNzU0ODAzOTE0LCJleHAiOjIwNzAxNjM5MTR9.bGGURJEeLCcbYEB9F0CTXzdXR3HUL92jOj3NZSiJvCI
66,aglo,aglao 1 n. ex. helping someone put out a fire; 2 extreme excitement to see,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGLAO.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdMQU8ubXAzIiwiaWF0IjoxNzU0ODAzOTIzLCJleHAiOjIwNzAxNjM5MjN9.SEyPU_v22Oayjo3P00yIprKvfO2kBLlRwDZUD4Vzuzg
67,Agóstu,[Sp] n. the month of August.,
68,agredulse,n. [Sp] sweet-and-sour sauce; agredulceng acan n. sweet-and-sour fish,
69,agredulseng bàbî,n. [Sp] sweet-and-sour pork,
70,agtâ,see adtâ,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGTA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdUQS5tcDMiLCJpYXQiOjE3NTQ4MDM5MzAsImV4cCI6MjA3MDE2MzkzMH0.6s1ia1TMBOe9n3mMpoPVIp-EPzY6FIGKx_Sbp_Q7V_g
71,agtàl,"v. harvest, gather. mámagtal, agtalán, papayagtal, manayagtal. n. pánagtal 'the harvest'; pípanagtalán 'place of harvest'.",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGTAL.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdUQUwubXAzIiwiaWF0IjoxNzU0ODAzOTM2LCJleHAiOjIwNzAxNjM5MzZ9._eg0ABzI_x73xYdDGPzAe3HfraNPa8bDtlh3SO0M44o
72,àgum,"v. associate maki-águm 'join a group', n. ágúman 'an association'. kagum 'associate, a conctaminant'.",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGUM.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdVTS5tcDMiLCJpYXQiOjE3NTQ4MDM5NDIsImV4cCI6MjA3MDE2Mzk0Mn0.I6ouHXNbfu9HIXIkbPXBnUZqkvoTKZjzeesMoaqqohI
73,àgus,"var. dágus n. current. b. mamagus, minagus 'flow'. papa-agus-an 'cause to flow'.",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGUS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdVUy5tcDMiLCJpYXQiOjE3NTQ4MDM5NDgsImV4cCI6MjA3MDE2Mzk0OH0.MeK6kdNylbXAu7zjQZFnyzA4KDAotN9mOSMRYzJ1MVA
74,àgwa-sinàda,"[Sp] n. a medicinal liquid used to clean wounds. Chemically, H2O2",
75,agyag,"v. summon, invite, signal. man-, -an, pa-, pan-, d. may-'be invited'. n. pámanagkat 'manner of inviting'; syn. abluk, agyag",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGUIAG.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdVSUFHLm1wMyIsImlhdCI6MTc1NDg0MzM1MywiZXhwIjoyMTMzMjc1MzUzfQ.BWsQ71V5b4IJAX-1Ftj-7zPxy18t8I28V3-yCntl9o4
76,agyang,"var. andyan, andiang q. even, in spite of.",
77,agyáp,n. cold sore. v. [stative] miyagyapan 'have cold sore'; [stat. distributive] manga-agyap-an.,
78,agyû,"d. sufficient. v. mánagyû, pánagyû, máka-agyap-an.",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/AGUI.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUdVSS5tcDMiLCJpYXQiOjE3NTQ4MDM5NzEsImV4cCI6MjA3MDE2Mzk3MX0.zVXmfhAbR7VEG5txSNJa9AYjCKCf3xmIqYWvydMKOmQ
79,akálâ,"(ara) n. thought, belief, presumption, idea",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/A/ACALA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0EvQUNBTEEubXAzIiwiaWF0IjoxNzU0ODAzOTkyLCJleHAiOjIwNzAxNjM5OTJ9.XIq25LqJ0NWeyak_5eq6uIpusRHfB3DhMHt-bAJfDZw
80,akapulku,[Nah] n. Senna alata; tropical American medicinal plant,
